########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2016/06/18.05:00:00    563.0  -37293000.0 -183100000.0    2561000.0   -7503000.0 -151812000.0       5000.0   41340000.0 -207417000.0   10788000.0   18687.71    4327.69    8271.90   24.98    8.46  -135.07   -13.50 144990.8
2016/06/19.05:00:00    564.0  -35242000.0 -183728000.0    2783000.0   -4975000.0 -151927000.0       5000.0   43240000.0 -207031000.0   10962000.0   18709.86    4398.98    8227.72   24.95    8.55  -134.99   -13.27 145206.5
2016/06/20.05:00:00    565.0  -33185000.0 -184328000.0    3003000.0   -2445000.0 -152000000.0       5000.0   45136000.0 -206624000.0   11134000.0   18731.64    4471.13    8183.80   24.92    8.64  -134.89   -13.07 145421.9
2016/06/21.05:00:00    566.0  -31123000.0 -184901000.0    3223000.0      85000.0 -152029000.0       5000.0   47026000.0 -206195000.0   11305000.0   18753.04    4544.13    8140.15   24.88    8.73  -134.79   -12.87 145637.0
2016/06/22.05:00:00    567.0  -29056000.0 -185446000.0    3443000.0    2616000.0 -152016000.0       5000.0   48912000.0 -205745000.0   11475000.0   18774.06    4617.94    8096.78   24.85    8.82  -134.67   -12.69 145851.9
2016/06/23.05:00:00    568.0  -26985000.0 -185963000.0    3662000.0    5146000.0 -151961000.0       5000.0   50793000.0 -205273000.0   11643000.0   18794.71    4692.55    8053.67   24.82    8.91  -134.54   -12.52 146066.5
2016/06/24.05:00:00    569.0  -24910000.0 -186453000.0    3881000.0    7674000.0 -151862000.0       5000.0   52668000.0 -204780000.0   11810000.0   18814.98    4767.93    8010.84   24.79    9.00  -134.40   -12.36 146280.8
2016/06/25.05:00:00    570.0  -22831000.0 -186914000.0    4099000.0   10201000.0 -151722000.0       5000.0   54538000.0 -204266000.0   11977000.0   18834.86    4844.06    7968.28   24.76    9.10  -134.24   -12.21 146494.8
2016/06/26.05:00:00    571.0  -20749000.0 -187348000.0    4317000.0   12725000.0 -151538000.0       5000.0   56402000.0 -203730000.0   12141000.0   18854.37    4920.93    7926.00   24.73    9.19  -134.08   -12.07 146708.6
2016/06/27.05:00:00    572.0  -18664000.0 -187754000.0    4534000.0   15246000.0 -151312000.0       5000.0   58261000.0 -203173000.0   12305000.0   18873.48    4998.51    7883.99   24.70    9.28  -133.90   -11.94 146922.2
2016/06/28.05:00:00    573.0  -16576000.0 -188133000.0    4750000.0   17762000.0 -151043000.0       5000.0   60113000.0 -202595000.0   12467000.0   18892.21    5076.78    7842.25   24.67    9.38  -133.71   -11.82 147135.5
2016/06/29.05:00:00    574.0  -14486000.0 -188484000.0    4965000.0   20274000.0 -150732000.0       5000.0   61959000.0 -201995000.0   12628000.0   18910.55    5155.73    7800.80   24.65    9.47  -133.52   -11.71 147348.5
2016/06/30.05:00:00    575.0  -12393000.0 -188807000.0    5180000.0   22781000.0 -150378000.0       5000.0   63799000.0 -201375000.0   12788000.0   18928.50    5235.34    7759.62   24.62    9.56  -133.31   -11.61 147561.4
2016/07/01.05:00:00    576.0  -10299000.0 -189103000.0    5394000.0   25281000.0 -149982000.0       5000.0   65631000.0 -200733000.0   12946000.0   18946.06    5315.58    7718.73   24.59    9.66  -133.09   -11.52 147773.9
2016/07/02.05:00:00    577.0   -8203000.0 -189371000.0    5607000.0   27774000.0 -149543000.0       5000.0   67457000.0 -200071000.0   13103000.0   18963.23    5396.43    7678.11   24.57    9.75  -132.86   -11.44 147986.3
2016/07/03.05:00:00    578.0   -6106000.0 -189612000.0    5820000.0   30260000.0 -149062000.0       5000.0   69276000.0 -199387000.0   13259000.0   18980.00    5477.87    7637.78   24.54    9.85  -132.62   -11.37 148198.5
2016/07/04.05:00:00    579.0   -4008000.0 -189825000.0    6031000.0   32737000.0 -148538000.0       5000.0   71088000.0 -198683000.0   13413000.0   18996.38    5559.87    7597.73   24.52    9.94  -132.38   -11.30 148410.4
2016/07/05.05:00:00    580.0   -1910000.0 -190011000.0    6242000.0   35205000.0 -147973000.0       5000.0   72892000.0 -197957000.0   13566000.0   19012.36    5642.42    7557.96   24.49   10.04  -132.12   -11.24 148622.1
2016/07/06.05:00:00    581.0     188000.0 -190169000.0    6452000.0   37663000.0 -147365000.0       5000.0   74689000.0 -197211000.0   13718000.0   19027.94    5725.47    7518.48   24.47   10.13  -131.85   -11.19 148833.6
2016/07/07.05:00:00    582.0    2287000.0 -190300000.0    6661000.0   40110000.0 -146716000.0       5000.0   76477000.0 -196445000.0   13868000.0   19043.12    5809.01    7479.28   24.45   10.23  -131.58   -11.15 149044.9
2016/07/08.05:00:00    583.0    4385000.0 -190404000.0    6869000.0   42545000.0 -146026000.0       5000.0   78258000.0 -195657000.0   14016000.0   19057.90    5893.02    7440.38   24.42   10.32  -131.29   -11.11 149256.1
2016/07/09.05:00:00    584.0    6483000.0 -190481000.0    7076000.0   44969000.0 -145294000.0       5000.0   80031000.0 -194849000.0   14163000.0   19072.28    5977.46    7401.76   24.40   10.41  -131.00   -11.08 149467.0
2016/07/10.05:00:00    585.0    8580000.0 -190530000.0    7281000.0   47379000.0 -144521000.0       5000.0   81795000.0 -194021000.0   14309000.0   19086.25    6062.31    7363.43   24.38   10.51  -130.70   -11.06 149677.7
2016/07/11.05:00:00    586.0   10675000.0 -190552000.0    7486000.0   49776000.0 -143708000.0       4000.0   83550000.0 -193172000.0   14453000.0   19099.82    6147.56    7325.39   24.36   10.60  -130.39   -11.04 149888.3
2016/07/12.05:00:00    587.0   12769000.0 -190547000.0    7690000.0   52159000.0 -142854000.0       4000.0   85297000.0 -192303000.0   14595000.0   19112.99    6233.18    7287.64   24.34   10.69  -130.08   -11.02 150098.7
2016/07/13.05:00:00    588.0   14862000.0 -190515000.0    7893000.0   54527000.0 -141960000.0       4000.0   87034000.0 -191413000.0   14736000.0   19125.75    6319.15    7250.19   24.32   10.78  -129.75   -11.02 150308.9
2016/07/14.05:00:00    589.0   16952000.0 -190456000.0    8094000.0   56879000.0 -141026000.0       4000.0   88763000.0 -190503000.0   14876000.0   19138.10    6405.45    7213.03   24.30   10.87  -129.42   -11.02 150519.0
2016/07/15.05:00:00    590.0   19040000.0 -190370000.0    8295000.0   59215000.0 -140053000.0       4000.0   90482000.0 -189573000.0   15013000.0   19150.04    6492.06    7176.16   24.29   10.96  -129.08   -11.02 150728.9
2016/07/16.05:00:00    591.0   21125000.0 -190258000.0    8494000.0   61534000.0 -139040000.0       4000.0   92191000.0 -188623000.0   15150000.0   19161.57    6578.97    7139.60   24.27   11.05  -128.74   -11.03 150938.7
2016/07/17.05:00:00    592.0   23207000.0 -190118000.0    8692000.0   63836000.0 -137988000.0       4000.0   93891000.0 -187653000.0   15284000.0   19172.70    6666.15    7103.32   24.25   11.14  -128.39   -11.04 151148.3
2016/07/18.05:00:00    593.0   25286000.0 -189952000.0    8889000.0   66120000.0 -136898000.0       4000.0   95580000.0 -186663000.0   15417000.0   19183.41    6753.61    7067.35   24.24   11.24  -128.03   -11.06 151357.8
2016/07/19.05:00:00    594.0   27361000.0 -189759000.0    9085000.0   68385000.0 -135769000.0       4000.0   97260000.0 -185653000.0   15549000.0   19193.71    6841.31    7031.68   24.22   11.33  -127.66   -11.08 151567.1
2016/07/20.05:00:00    595.0   29433000.0 -189539000.0    9279000.0   70631000.0 -134602000.0       4000.0   98929000.0 -184623000.0   15678000.0   19203.60    6929.25    6996.31   24.21   11.42  -127.29   -11.10 151776.3
2016/07/21.05:00:00    596.0   31500000.0 -189293000.0    9472000.0   72857000.0 -133398000.0       4000.0  100587000.0 -183574000.0   15806000.0   19213.07    7017.42    6961.24   24.19   11.51  -126.92   -11.13 151985.4
2016/07/22.05:00:00    597.0   33563000.0 -189021000.0    9664000.0   75063000.0 -132156000.0       4000.0  102235000.0 -182504000.0   15933000.0   19222.13    7105.81    6926.47   24.18   11.60  -126.53   -11.16 152194.4
2016/07/23.05:00:00    598.0   35621000.0 -188722000.0    9854000.0   77248000.0 -130876000.0       4000.0  103872000.0 -181416000.0   16057000.0   19230.78    7194.40    6892.01   24.17   11.70  -126.14   -11.20 152403.3
2016/07/24.05:00:00    599.0   37675000.0 -188397000.0   10043000.0   79411000.0 -129560000.0       4000.0  105497000.0 -180307000.0   16180000.0   19239.01    7283.19    6857.85   24.15   11.79  -125.75   -11.24 152612.0
2016/07/25.05:00:00    600.0   39723000.0 -188046000.0   10231000.0   81552000.0 -128208000.0       4000.0  107111000.0 -179180000.0   16301000.0   19246.82    7372.17    6824.00   24.14   11.89  -125.35   -11.28 152820.7
2016/07/26.05:00:00    601.0   41765000.0 -187668000.0   10417000.0   83671000.0 -126819000.0       4000.0  108714000.0 -178033000.0   16421000.0   19254.22    7461.33    6790.45   24.13   11.98  -124.94   -11.32 153029.2
2016/07/27.05:00:00    602.0   43802000.0 -187265000.0   10602000.0   85766000.0 -125394000.0       4000.0  110305000.0 -176866000.0   16538000.0   19261.20    7550.65    6757.22   24.12   12.08  -124.53   -11.37 153237.7
2016/07/28.05:00:00    603.0   45833000.0 -186835000.0   10785000.0   87836000.0 -123934000.0       4000.0  111884000.0 -175681000.0   16654000.0   19267.77    7640.13    6724.30   24.11   12.18  -124.12   -11.42 153446.0
2016/07/29.05:00:00    604.0   47857000.0 -186380000.0   10967000.0   89883000.0 -122438000.0       4000.0  113451000.0 -174476000.0   16768000.0   19273.91    7729.75    6691.68   24.10   12.27  -123.70   -11.47 153654.3
2016/07/30.05:00:00    605.0   49875000.0 -185899000.0   11147000.0   91904000.0 -120908000.0       4000.0  115005000.0 -173253000.0   16881000.0   19279.64    7819.50    6659.38   24.09   12.37  -123.27   -11.53 153862.5
2016/07/31.05:00:00    606.0   51886000.0 -185392000.0   11326000.0   93899000.0 -119343000.0       4000.0  116547000.0 -172010000.0   16991000.0   19284.95    7909.36    6627.40   24.09   12.47  -122.84   -11.59 154070.7
2016/08/01.05:00:00    607.0   53889000.0 -184860000.0   11503000.0   95867000.0 -117744000.0       4000.0  118076000.0 -170749000.0   17099000.0   19289.83    7999.31    6595.73   24.08   12.57  -122.40   -11.65 154278.8
2016/08/02.05:00:00    608.0   55886000.0 -184302000.0   11679000.0   97808000.0 -116112000.0       4000.0  119592000.0 -169469000.0   17206000.0   19294.30    8089.34    6564.37   24.07   12.67  -121.96   -11.71 154486.8
2016/08/03.05:00:00    609.0   57874000.0 -183718000.0   11853000.0   99722000.0 -114446000.0       3000.0  121095000.0 -168170000.0   17311000.0   19298.35    8179.43    6533.34   24.07   12.77  -121.51   -11.77 154694.7
2016/08/04.05:00:00    610.0   59855000.0 -183110000.0   12025000.0  101607000.0 -112748000.0       3000.0  122585000.0 -166853000.0   17414000.0   19301.98    8269.57    6502.62   24.06   12.86  -121.05   -11.83 154902.6
2016/08/05.05:00:00    611.0   61827000.0 -182476000.0   12196000.0  103463000.0 -111018000.0       3000.0  124061000.0 -165518000.0   17514000.0   19305.19    8359.72    6472.22   24.06   12.96  -120.60   -11.90 155110.5
2016/08/06.05:00:00    612.0   63791000.0 -181817000.0   12365000.0  105289000.0 -109256000.0       3000.0  125524000.0 -164164000.0   17613000.0   19307.97    8449.88    6442.14   24.05   13.06  -120.13   -11.97 155318.3
2016/08/07.05:00:00    613.0   65746000.0 -181133000.0   12532000.0  107086000.0 -107463000.0       3000.0  126972000.0 -162792000.0   17710000.0   19310.34    8540.02    6412.39   24.05   13.16  -119.67   -12.04 155526.1
2016/08/08.05:00:00    614.0   67692000.0 -180424000.0   12698000.0  108851000.0 -105640000.0       3000.0  128406000.0 -161402000.0   17805000.0   19312.28    8630.14    6382.96   24.05   13.25  -119.19   -12.11 155733.9
2016/08/09.05:00:00    615.0   69628000.0 -179690000.0   12861000.0  110586000.0 -103787000.0       3000.0  129826000.0 -159993000.0   17898000.0   19313.81    8720.21    6353.85   24.04   13.35  -118.72   -12.18 155941.7
2016/08/10.05:00:00    616.0   71555000.0 -178932000.0   13023000.0  112289000.0 -101904000.0       2000.0  131232000.0 -158567000.0   17990000.0   19314.91    8810.22    6325.07   24.04   13.45  -118.24   -12.25 156149.4
2016/08/11.05:00:00    617.0   73473000.0 -178148000.0   13184000.0  113960000.0  -99993000.0       2000.0  132623000.0 -157123000.0   18079000.0   19315.59    8900.16    6296.62   24.04   13.54  -117.75   -12.32 156357.1
2016/08/12.05:00:00    618.0   75380000.0 -177341000.0   13342000.0  115598000.0  -98053000.0       2000.0  133998000.0 -155661000.0   18166000.0   19315.85    8990.00    6268.50   24.04   13.64  -117.26   -12.40 156564.8
2016/08/13.05:00:00    619.0   77277000.0 -176509000.0   13499000.0  117204000.0  -96086000.0       2000.0  135359000.0 -154182000.0   18250000.0   19315.68    9079.75    6240.70   24.04   13.73  -116.77   -12.47 156772.5
2016/08/14.05:00:00    620.0   79163000.0 -175653000.0   13653000.0  118776000.0  -94092000.0       2000.0  136704000.0 -152685000.0   18333000.0   19315.10    9169.39    6213.24   24.04   13.83  -116.27   -12.55 156980.3
2016/08/15.05:00:00    621.0   81038000.0 -174772000.0   13806000.0  120314000.0  -92071000.0       2000.0  138034000.0 -151171000.0   18414000.0   19314.09    9258.91    6186.11   24.04   13.93  -115.77   -12.62 157188.0
2016/08/16.05:00:00    622.0   82902000.0 -173868000.0   13957000.0  121818000.0  -90024000.0       2000.0  139348000.0 -149640000.0   18493000.0   19312.67    9348.29    6159.32   24.05   14.02  -115.26   -12.70 157395.7
2016/08/17.05:00:00    623.0   84755000.0 -172940000.0   14106000.0  123288000.0  -87951000.0       2000.0  140646000.0 -148091000.0   18569000.0   19310.82    9437.53    6132.86   24.05   14.12  -114.75   -12.77 157603.5
2016/08/18.05:00:00    624.0   86596000.0 -171987000.0   14254000.0  124722000.0  -85854000.0       2000.0  141928000.0 -146526000.0   18644000.0   19308.55    9526.62    6106.73   24.05   14.22  -114.24   -12.85 157811.3
2016/08/19.05:00:00    625.0   88425000.0 -171012000.0   14399000.0  126121000.0  -83732000.0       2000.0  143194000.0 -144943000.0   18716000.0   19305.86    9615.56    6080.94   24.06   14.31  -113.72   -12.93 158019.1
2016/08/20.05:00:00    626.0   90242000.0 -170012000.0   14542000.0  127484000.0  -81587000.0       2000.0  144443000.0 -143344000.0   18786000.0   19302.74    9704.34    6055.49   24.06   14.41  -113.20   -13.00 158227.0
2016/08/21.05:00:00    627.0   92047000.0 -168990000.0   14683000.0  128811000.0  -79418000.0       2000.0  145675000.0 -141728000.0   18854000.0   19299.21    9792.94    6030.38   24.07   14.51  -112.67   -13.08 158434.9
2016/08/22.05:00:00    628.0   93839000.0 -167944000.0   14822000.0  130102000.0  -77227000.0       2000.0  146890000.0 -140096000.0   18920000.0   19295.26    9881.38    6005.62   24.07   14.61  -112.14   -13.15 158642.8
2016/08/23.05:00:00    629.0   95618000.0 -166874000.0   14959000.0  131356000.0  -75013000.0       2000.0  148088000.0 -138447000.0   18983000.0   19290.89    9969.64    5981.19   24.08   14.71  -111.61   -13.23 158850.8
2016/08/24.05:00:00    630.0   97383000.0 -165782000.0   15094000.0  132572000.0  -72778000.0       2000.0  149269000.0 -136782000.0   19045000.0   19286.09   10057.71    5957.11   24.09   14.81  -111.07   -13.31 159058.9
2016/08/25.05:00:00    631.0   99136000.0 -164667000.0   15227000.0  133750000.0  -70522000.0       2000.0  150432000.0 -135101000.0   19104000.0   19280.88   10145.58    5933.37   24.09   14.92  -110.53   -13.38 159267.0
2016/08/26.05:00:00    632.0  100874000.0 -163529000.0   15358000.0  134890000.0  -68245000.0       2000.0  151577000.0 -133404000.0   19160000.0   19275.25   10233.25    5909.98   24.10   15.02  -109.99   -13.46 159475.2
2016/08/27.05:00:00    633.0  102599000.0 -162369000.0   15487000.0  135992000.0  -65949000.0       2000.0  152705000.0 -131691000.0   19215000.0   19269.20   10320.71    5886.93   24.11   15.12  -109.44   -13.53 159683.5
2016/08/28.05:00:00    634.0  104309000.0 -161186000.0   15613000.0  137054000.0  -63633000.0       2000.0  153814000.0 -129963000.0   19267000.0   19262.73   10407.94    5864.23   24.12   15.23  -108.89   -13.60 159891.8
2016/08/29.05:00:00    635.0  106005000.0 -159980000.0   15738000.0  138078000.0  -61299000.0       1000.0  154905000.0 -128219000.0   19317000.0   19255.85   10494.92    5841.89   24.13   15.33  -108.33   -13.68 160100.3
2016/08/30.05:00:00    636.0  107687000.0 -158753000.0   15860000.0  139061000.0  -58947000.0       1000.0  155977000.0 -126459000.0   19365000.0   19248.54   10581.65    5819.89   24.14   15.44  -107.77   -13.75 160308.8
2016/08/31.05:00:00    637.0  109353000.0 -157503000.0   15980000.0  140004000.0  -56577000.0       1000.0  157030000.0 -124684000.0   19410000.0   19240.83   10668.11    5798.24   24.15   15.54  -107.21   -13.82 160517.4
2016/09/01.05:00:00    638.0  111004000.0 -156232000.0   16098000.0  140907000.0  -54192000.0       1000.0  158064000.0 -122894000.0   19453000.0   19232.69   10754.28    5776.95   24.16   15.65  -106.64   -13.89 160726.2
2016/09/02.05:00:00    639.0  112640000.0 -154938000.0   16213000.0  141769000.0  -51790000.0       1000.0  159079000.0 -121089000.0   19493000.0   19224.14   10840.15    5756.01   24.18   15.75  -106.08   -13.96 160935.0
2016/09/03.05:00:00    640.0  114260000.0 -153624000.0   16327000.0  142590000.0  -49374000.0       1000.0  160075000.0 -119270000.0   19531000.0   19215.17   10925.70    5735.42   24.19   15.86  -105.50   -14.03 161143.9
2016/09/04.05:00:00    641.0  115863000.0 -152287000.0   16438000.0  143369000.0  -46944000.0          0.0  161051000.0 -117435000.0   19567000.0   19205.79   11010.92    5715.19   24.20   15.96  -104.93   -14.10 161353.0
2016/09/05.05:00:00    642.0  117451000.0 -150930000.0   16546000.0  144107000.0  -44500000.0          0.0  162007000.0 -115587000.0   19601000.0   19196.00   11095.80    5695.32   24.22   16.07  -104.35   -14.17 161562.2
2016/09/06.05:00:00    643.0  119023000.0 -149551000.0   16653000.0  144803000.0  -42043000.0          0.0  162943000.0 -113724000.0   19631000.0   19185.79   11180.32    5675.80   24.23   16.17  -103.76   -14.23 161771.5
2016/09/07.05:00:00    644.0  120577000.0 -148151000.0   16757000.0  145457000.0  -39574000.0          0.0  163859000.0 -111846000.0   19660000.0   19175.18   11264.46    5656.64   24.25   16.28  -103.18   -14.30 161981.0
2016/09/08.05:00:00    645.0  122115000.0 -146731000.0   16859000.0  146069000.0  -37094000.0          0.0  164754000.0 -109955000.0   19686000.0   19164.15   11348.23    5637.84   24.27   16.38  -102.59   -14.36 162190.6
2016/09/09.05:00:00    646.0  123635000.0 -145290000.0   16958000.0  146639000.0  -34603000.0          0.0  165628000.0 -108050000.0   19709000.0   19152.71   11431.60    5619.40   24.28   16.48  -101.99   -14.42 162400.3
2016/09/10.05:00:00    647.0  125138000.0 -143828000.0   17055000.0  147166000.0  -32103000.0          0.0  166482000.0 -106131000.0   19731000.0   19140.86   11514.56    5601.32   24.30   16.59  -101.40   -14.48 162610.2
2016/09/11.05:00:00    648.0  126624000.0 -142346000.0   17149000.0  147650000.0  -29594000.0          0.0  167315000.0 -104199000.0   19749000.0   19128.60   11597.11    5583.61   24.32   16.69  -100.80   -14.54 162820.2
2016/09/12.05:00:00    649.0  128091000.0 -140844000.0   17242000.0  148092000.0  -27076000.0          0.0  168126000.0 -102254000.0   19765000.0   19115.94   11679.23    5566.25   24.34   16.80  -100.19   -14.60 163030.4
2016/09/13.05:00:00    650.0  129541000.0 -139322000.0   17331000.0  148490000.0  -24550000.0          0.0  168915000.0 -100295000.0   19779000.0   19102.87   11760.92    5549.26   24.36   16.90   -99.59   -14.65 163240.8
2016/09/14.05:00:00    651.0  130972000.0 -137780000.0   17418000.0  148846000.0  -22018000.0          0.0  169683000.0  -98324000.0   19790000.0   19089.39   11842.17    5532.64   24.38   17.00   -98.98   -14.71 163451.3
2016/09/15.05:00:00    652.0  132384000.0 -136218000.0   17503000.0  149158000.0  -19479000.0          0.0  170429000.0  -96339000.0   19798000.0   19075.51   11922.97    5516.38   24.40   17.11   -98.37   -14.76 163662.0
2016/09/16.05:00:00    653.0  133777000.0 -134637000.0   17585000.0  149427000.0  -16935000.0          0.0  171153000.0  -94343000.0   19804000.0   19061.22   12003.32    5500.48   24.42   17.21   -97.75   -14.81 163872.9
2016/09/17.05:00:00    654.0  135151000.0 -133037000.0   17665000.0  149653000.0  -14386000.0          0.0  171855000.0  -92334000.0   19807000.0   19046.54   12083.21    5484.95   24.44   17.32   -97.13   -14.86 164084.0
2016/09/18.05:00:00    655.0  136506000.0 -131418000.0   17742000.0  149836000.0  -11833000.0          0.0  172533000.0  -90312000.0   19808000.0   19031.45   12162.65    5469.79   24.46   17.42   -96.51   -14.91 164295.3
2016/09/19.05:00:00    656.0  137841000.0 -129779000.0   17817000.0  149975000.0   -9276000.0          0.0  173189000.0  -88279000.0   19806000.0   19015.96   12241.62    5454.99   24.49   17.53   -95.89   -14.95 164506.7
2016/09/20.05:00:00    657.0  139157000.0 -128123000.0   17889000.0  150071000.0   -6717000.0          0.0  173823000.0  -86235000.0   19801000.0   19000.08   12320.13    5440.57   24.51   17.64   -95.26   -15.00 164718.4
2016/09/21.05:00:00    658.0  140452000.0 -126447000.0   17958000.0  150123000.0   -4155000.0          0.0  174432000.0  -84178000.0   19794000.0   18983.79   12398.17    5426.51   24.54   17.74   -94.63   -15.04 164930.3
2016/09/22.05:00:00    659.0  141727000.0 -124753000.0   18025000.0  150131000.0   -1592000.0          0.0  175019000.0  -82111000.0   19784000.0   18967.11   12475.73    5412.82   24.56   17.85   -94.00   -15.08 165142.4
2016/09/23.05:00:00    660.0  142981000.0 -123042000.0   18090000.0  150096000.0     971000.0          0.0  175582000.0  -80032000.0   19771000.0   18950.04   12552.81    5399.49   24.59   17.96   -93.37   -15.11 165354.7
2016/09/24.05:00:00    661.0  144215000.0 -121312000.0   18151000.0  150016000.0    3535000.0          0.0  176121000.0  -77942000.0   19756000.0   18932.57   12629.40    5386.54   24.61   18.08   -92.73   -15.15 165567.3
2016/09/25.05:00:00    662.0  145427000.0 -119564000.0   18210000.0  149893000.0    6098000.0          0.0  176636000.0  -75842000.0   19738000.0   18914.71   12705.49    5373.96   24.64   18.19   -92.09   -15.18 165780.0
2016/09/26.05:00:00    663.0  146618000.0 -117799000.0   18266000.0  149725000.0    8660000.0          0.0  177126000.0  -73731000.0   19717000.0   18896.47   12781.06    5361.74   24.67   18.30   -91.44   -15.21 165993.0
2016/09/27.05:00:00    664.0  147788000.0 -116017000.0   18320000.0  149513000.0   11219000.0          0.0  177592000.0  -71611000.0   19694000.0   18877.83   12856.11    5349.90   24.70   18.41   -90.80   -15.24 166206.3
2016/09/28.05:00:00    665.0  148936000.0 -114218000.0   18371000.0  149257000.0   13775000.0      -1000.0  178034000.0  -69480000.0   19668000.0   18858.80   12930.62    5338.42   24.72   18.52   -90.15   -15.27 166419.8
2016/09/29.05:00:00    666.0  150062000.0 -112402000.0   18419000.0  148957000.0   16327000.0      -1000.0  178451000.0  -67339000.0   19639000.0   18839.39   13004.58    5327.32   24.75   18.64   -89.50   -15.30 166633.5
2016/09/30.05:00:00    667.0  151166000.0 -110569000.0   18465000.0  148613000.0   18874000.0      -1000.0  178842000.0  -65189000.0   19607000.0   18819.60   13077.98    5316.58   24.78   18.75   -88.84   -15.32 166847.5
2016/10/01.05:00:00    668.0  152247000.0 -108720000.0   18507000.0  148225000.0   21416000.0      -1000.0  179209000.0  -63030000.0   19573000.0   18799.42   13150.80    5306.22   24.81   18.86   -88.18   -15.34 167061.8
2016/10/02.05:00:00    669.0  153305000.0 -106854000.0   18547000.0  147793000.0   23952000.0      -1000.0  179550000.0  -60862000.0   19536000.0   18778.87   13223.04    5296.23   24.85   18.98   -87.52   -15.35 167276.3
2016/10/03.05:00:00    670.0  154341000.0 -104973000.0   18585000.0  147317000.0   26480000.0      -2000.0  179865000.0  -58685000.0   19496000.0   18757.93   13294.67    5286.60   24.88   19.09   -86.86   -15.37 167491.1
2016/10/04.05:00:00    671.0  155353000.0 -103075000.0   18619000.0  146797000.0   29000000.0      -2000.0  180154000.0  -56500000.0   19453000.0   18736.62   13365.70    5277.34   24.91   19.20   -86.19   -15.38 167706.2
2016/10/05.05:00:00    672.0  156342000.0 -101163000.0   18651000.0  146234000.0   31512000.0      -2000.0  180417000.0  -54306000.0   19407000.0   18714.94   13436.10    5268.46   24.94   19.32   -85.52   -15.39 167921.5
2016/10/06.05:00:00    673.0  157308000.0  -99234000.0   18679000.0  145627000.0   34014000.0      -2000.0  180654000.0  -52105000.0   19359000.0   18692.88   13505.87    5259.94   24.98   19.43   -84.85   -15.40 168137.2
2016/10/07.05:00:00    674.0  158249000.0  -97291000.0   18705000.0  144977000.0   36506000.0      -2000.0  180864000.0  -49896000.0   19307000.0   18670.45   13575.00    5251.79   25.01   19.54   -84.18   -15.40 168353.1
2016/10/08.05:00:00    675.0  159167000.0  -95333000.0   18728000.0  144285000.0   38986000.0      -2000.0  181048000.0  -47680000.0   19253000.0   18647.66   13643.48    5244.00   25.04   19.65   -83.50   -15.41 168569.3
2016/10/09.05:00:00    676.0  160060000.0  -93361000.0   18749000.0  143549000.0   41455000.0      -2000.0  181205000.0  -45456000.0   19196000.0   18624.49   13711.30    5236.59   25.08   19.76   -82.82   -15.41 168785.9
2016/10/10.05:00:00    677.0  160928000.0  -91374000.0   18766000.0  142771000.0   43912000.0      -2000.0  181334000.0  -43226000.0   19136000.0   18600.96   13778.44    5229.54   25.12   19.88   -82.14   -15.40 169002.7
2016/10/11.05:00:00    678.0  161772000.0  -89373000.0   18781000.0  141950000.0   46355000.0      -2000.0  181437000.0  -40989000.0   19074000.0   18577.08   13844.92    5222.85   25.15   19.99   -81.46   -15.40 169219.9
2016/10/12.05:00:00    679.0  162591000.0  -87359000.0   18792000.0  141088000.0   48784000.0      -2000.0  181512000.0  -38746000.0   19008000.0   18552.83   13910.71    5216.53   25.19   20.10   -80.77   -15.39 169437.3
2016/10/13.05:00:00    680.0  163384000.0  -85330000.0   18801000.0  140183000.0   51199000.0      -2000.0  181559000.0  -36497000.0   18939000.0   18528.22   13975.82    5210.58   25.23   20.21   -80.09   -15.38 169655.1
